FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3015,Personnel Management,4120,Medical,B 13,1,308,Staff Assistant,Annual,1,1,64668,64668
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3015,Personnel Management,4120,Medical,B 10,1,302,Administrative Assistant II,Annual,1,1,52908,52908
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3015,Personnel Management,4120,Medical,B 10,1,302,Administrative Assistant II,Annual,1,1,48960,48960
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3015,Personnel Management,4120,Medical,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,18202,18202
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4200,Information Technology  Administration,X 32,9,9684,Deputy Director,Annual,1,1,152748,152748
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4200,Information Technology  Administration,B 10,1,302,Administrative Assistant II,Annual,1,1,60780,60780
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4200,Information Technology  Administration,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,6853,6853
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,X 31,9,9814,Managing Deputy Director,Annual,1,1,178992,178992
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,B 14,1,689,Senior Help Desk Technician,Annual,1,1,71004,71004
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,G 10,4,659,Principal Data Base Analyst,Annual,1,1,112404,112404
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,G 06,4,638,Programmer/Analyst,Annual,1,1,112020,112020
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,G 08,4,635,Senior Programmer/Analyst,Annual,1,1,133428,133428
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,G 08,4,635,Senior Programmer/Analyst,Annual,1,1,93708,93708
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,G 10,1,629,Principal Programmer/Analyst,Annual,2,1,112404,224808
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,X 33,0,601,Director of Information Systems,Annual,1,1,148920,148920
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,BX 18,20,394,Administrative Manager,Annual,1,1,94992,94992
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,3 00,0,310,Project Manager,Annual,1,1,105588,105588
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,3 00,0,310,Project Manager,Annual,1,1,100476,100476
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,3 00,0,310,Project Manager,Annual,1,1,98484,98484
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,3 00,0,310,Project Manager,Annual,1,1,95604,95604
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4205,Information Systems,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2983,2983
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4210,Infrastructure,3 00,0,310,Project Manager,Annual,2,1,101472,202944
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4220,Interoperable Communications,B 15,1,627,Senior Telecommunications Specialist,Annual,1,1,129048,129048
LOCAL,51,Office of Public Safety Administration,100,Corporate Fund,1005,Office of Public Safety Administration,2005,Office of Public Safety Administration,3020,Information Technology,4220,Interoperable Communications,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1485,1485
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4000,Commissioner's Office,1 00,9,9954,Commissioner of Planning and Development,Annual,1,1,201612,201612
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4000,Commissioner's Office,3 00,0,06A6,Data Scientist,Annual,1,1,105588,105588
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4000,Commissioner's Office,X 33,9,313,Assistant Commissioner,Annual,1,1,133524,133524
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4000,Commissioner's Office,BX 17,10,304,Assistant to Commissioner,Annual,1,1,126720,126720
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4000,Commissioner's Office,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,8165,8165
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,X 32,9,9679,Deputy Commissioner,Annual,1,1,152748,152748
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,B 14,1,2944,Employability Review Specialist III,Annual,1,1,123168,123168
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,X 33,20,1191,Contracts Administrator,Annual,1,1,118128,118128
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,G 06,4,1142,Senior Operations Analyst,Annual,1,1,76956,76956
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,X 33,9,313,Assistant Commissioner,Annual,1,1,118128,118128
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,BX 15,10,134,Financial Analyst,Annual,1,1,67656,67656
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,X 33,0,118,Director of Finance,Annual,1,1,133524,133524
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,B 11,1,109,Accounting Technician,Annual,1,1,93252,93252
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4001,Finance and Fiscal Operations,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,30000,30000
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,X 32,9,9679,Deputy Commissioner,Annual,1,1,152748,152748
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 18,10,3092,Program Director,Annual,1,1,94992,94992
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 15,10,1912,Project Coordinator,Annual,1,1,110256,110256
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 15,10,1912,Project Coordinator,Annual,1,1,95952,95952
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 15,10,1912,Project Coordinator,Annual,1,1,74244,74244
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,3 00,0,1430,Policy Analyst,Annual,1,1,84840,84840
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,G 04,4,1402,City Planner II,Annual,1,1,92808,92808
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 16,10,1315,Human Resources Business Partner,Annual,1,1,115488,115488
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 15,10,1310,Administrative Services Officer II - Excluded,Annual,1,1,70872,70872
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,B 14,1,689,Senior Help Desk Technician,Annual,1,1,71004,71004
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 17,20,381,Director of Administration II,Annual,1,1,110256,110256
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 18,10,361,Director of Personnel Policies and Utilization,Annual,1,1,132708,132708
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,18650,18650
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4009,Communications and Public Affairs,X 32,9,9679,Deputy Commissioner,Annual,1,1,135084,135084
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4009,Communications and Public Affairs,X 33,9,313,Assistant Commissioner,Annual,1,1,118128,118128
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4009,Communications and Public Affairs,B 13,1,308,Staff Assistant,Annual,1,1,93252,93252
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3035,Administration,4009,Communications and Public Affairs,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,21046,21046
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4059,Chicago Plan Commission,X 33,9,313,Assistant Commissioner,Annual,1,1,118128,118128
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4059,Chicago Plan Commission,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,8722,8722
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4067,Urban Design,X 33,9,313,Assistant Commissioner,Annual,1,1,118128,118128
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4067,Urban Design,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,8722,8722
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4100,Planning And Design,X 31,9,9660,First Deputy Commissioner,Annual,1,1,145092,145092
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4100,Planning And Design,BX 15,10,802,Executive Administrative Assistant II,Annual,1,1,67656,67656
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4100,Planning And Design,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1512,1512
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,X 32,9,9679,Deputy Commissioner,Annual,1,1,135084,135084
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,GY 10,10,1408,Supervising Planner,Annual,1,1,117792,117792
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,GY 10,10,1408,Supervising Planner,Annual,1,1,103176,103176
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,GY 10,10,1408,Supervising Planner,Annual,1,1,98664,98664
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,GY 08,10,1407,Urban Designer,Annual,3,1,80472,241416
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,GY 08,10,1405,City Planner V,Annual,1,1,108816,108816
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,GY 08,10,1405,City Planner V,Annual,1,1,98664,98664
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,GY 08,10,1405,City Planner V,Annual,1,1,86520,86520
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,GY 08,10,1405,City Planner V,Annual,4,1,82752,331008
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4101,North / Central Regions,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,24401,24401
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4102,South / West Regions,X 32,9,9679,Deputy Commissioner,Annual,1,1,135084,135084
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4102,South / West Regions,BX 17,10,1985,Coordinator of Economic Development II - Planning and Development,Annual,1,1,115488,115488
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4102,South / West Regions,GY 08,10,1407,Urban Designer,Annual,2,1,82752,165504
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4102,South / West Regions,GY 08,10,1407,Urban Designer,Annual,1,1,80472,80472
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4102,South / West Regions,GY 08,10,1405,City Planner V,Annual,1,1,82752,82752
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4102,South / West Regions,GY 08,10,1405,City Planner V,Annual,1,1,80472,80472
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3042,Planning And Design,4102,South / West Regions,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,7838,7838
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4094,Special Service Areas (SSA),BX 15,10,1912,Project Coordinator,Annual,1,1,70872,70872
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4094,Special Service Areas (SSA),GY 08,10,1405,City Planner V,Annual,1,1,108816,108816
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4094,Special Service Areas (SSA),X 33,9,313,Assistant Commissioner,Annual,1,1,118128,118128
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4094,Special Service Areas (SSA),1 00,0,15,Schedule Salary Adjustments,Annual,0,0,8855,8855
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4095,Local Industry Retention and Small Business Improvement,BX 18,10,3092,Program Director,Annual,1,1,139056,139056
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3044,Small Business Development,4095,Local Industry Retention and Small Business Improvement,BX 16,10,1984,Coordinator of Economic Development I - Planning and Development,Annual,1,1,86520,86520
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4169,Systems Planning,X 32,9,9679,Deputy Commissioner,Annual,1,1,152748,152748
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4169,Systems Planning,BX 17,10,1985,Coordinator of Economic Development II - Planning and Development,Annual,1,1,120960,120960
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4169,Systems Planning,BX 15,10,1912,Project Coordinator,Annual,1,1,100476,100476
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4169,Systems Planning,GY 08,10,1405,City Planner V,Annual,3,1,80472,241416
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4169,Systems Planning,3 00,0,310,Project Manager,Annual,1,1,101472,101472
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4169,Systems Planning,3 00,0,310,Project Manager,Annual,1,1,85704,85704
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4169,Systems Planning,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,11527,11527
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4178,Land Sales and Open Space,B 14,1,1602,Senior Land Disposition Officer,Annual,1,1,117684,117684
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4178,Land Sales and Open Space,B 14,1,1602,Senior Land Disposition Officer,Annual,1,1,88140,88140
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4178,Land Sales and Open Space,B 14,1,1602,Senior Land Disposition Officer,Annual,1,1,71004,71004
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4178,Land Sales and Open Space,GY 10,10,1408,Supervising Planner,Annual,1,1,123060,123060
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4178,Land Sales and Open Space,GY 08,10,1405,City Planner V,Annual,1,1,86520,86520
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4178,Land Sales and Open Space,B 13,1,308,Staff Assistant,Annual,1,1,112260,112260
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4178,Land Sales and Open Space,B 12,1,303,Administrative Assistant III,Annual,1,1,102336,102336
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4178,Land Sales and Open Space,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,6240,6240
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,G 08,4,5404,Architect IV,Annual,1,1,133428,133428
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,G 06,4,5402,Architect II,Annual,2,1,91884,183768
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,G 06,4,5402,Architect II,Annual,1,1,76956,76956
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,BX 15,10,1912,Project Coordinator,Annual,1,1,95952,95952
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,3 00,20,1441,Coordinating Planner,Annual,1,1,109872,109872
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,3 00,20,1441,Coordinating Planner,Annual,1,1,105588,105588
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,GY 08,10,1405,City Planner V,Annual,1,1,108816,108816
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,GY 08,10,1405,City Planner V,Annual,1,1,80472,80472
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3046,Citywide Planning,4184,Historic Preservation,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,5784,5784
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4029,Zoning Ordinance,X 31,9,9654,Zoning Administrator,Annual,1,1,164004,164004
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4029,Zoning Ordinance,BX 17,10,1985,Coordinator of Economic Development II - Planning and Development,Annual,1,1,100476,100476
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4029,Zoning Ordinance,GY 08,10,1405,City Planner V,Annual,1,1,80472,80472
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4029,Zoning Ordinance,3 00,0,1298,Assistant Zoning Administrator,Annual,1,1,132720,132720
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4029,Zoning Ordinance,B 12,1,801,Executive Administrative Assistant I,Annual,1,1,69912,69912
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4029,Zoning Ordinance,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,12706,12706
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,GY 08,0,5432,Chief Landscape Plan Examiner,Annual,1,1,108816,108816
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,G 06,4,5431,Senior Landscape Plan Examiner,Annual,1,1,112020,112020
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,3 00,20,1441,Coordinating Planner,Annual,1,1,115488,115488
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,3 00,20,1441,Coordinating Planner,Annual,1,1,109872,109872
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,B 13,3,1293,Senior Zoning Plan Examiner,Annual,2,1,112260,224520
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,B 13,3,1293,Senior Zoning Plan Examiner,Annual,1,1,84972,84972
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,B 13,3,1293,Senior Zoning Plan Examiner,Annual,1,1,76656,76656
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,B 13,3,1293,Senior Zoning Plan Examiner,Annual,2,1,73188,146376
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,B 13,3,1293,Senior Zoning Plan Examiner,Annual,1,1,69912,69912
LOCAL,54,Department of Planning and Development,100,Corporate Fund,1005,Department of Planning and Development,2005,Department of Planning and Development,3088,Zoning and Land Use,4098,Permit Reviews,B 13,3,1293,Senior Zoning Plan Examiner,Annual,2,1,64668,129336
